Product,Category,Sales,Units Sold,Date
Neutrogena Skincare Set,Beauty Products,699,701,05-01-24
Gone Girl by Gillian Flynn,Books,986,986,22-01-24
Pride and Prejudice by Jane Austen,Books,768,768,28-01-24
1984 by George Orwell,Books,542,542,03-02-24
L'Oreal Revitalift Serum,Beauty Products,523,523,04-02-24
Harry Potter and the Sorcerer's Stone,Books,566,566,09-02-24
Estee Lauder Advanced Night Repair,Beauty Products,870,880,10-02-24
Clinique Moisture Surge,Beauty Products,654,654,16-02-24
Where the Crawdads Sing by Delia Owens,Books,655,655,04-03-24
To Kill a Mockingbird by Harper Lee,Books,564,564,16-03-24
Charlotte Tilbury Magic Cream,Beauty Products,542,542,23-03-24
